Timestamp,Frame Index,Object Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-12 20:32:21,1,1,Marker lost - using last/fallback scale,0.05,13.2,2.35,38.915,4.057
2025-11-12 20:32:22,28,1,Marker lost - using last/fallback scale,0.05,32.0,0.45,3.181,8.605
2025-11-12 20:32:23,59,1,Marker lost - using last/fallback scale,0.05,11.3,1.35,10.83,5.255
2025-11-12 20:32:24,89,1,Marker lost - using last/fallback scale,0.05,32.0,0.45,4.021,8.605
2025-11-12 20:32:25,120,1,Marker OK (ID 0),0.058102,29.632,0.523,4.927,7.682
2025-11-12 20:32:26,150,1,Marker OK (ID 0),0.057304,8.71,1.547,6.157,5.923
2025-11-12 20:32:27,180,6,Marker lost - using last/fallback scale,0.055997,35.838,0.504,4.96,10.119
2025-11-12 20:32:28,210,2,Marker lost - using last/fallback scale,0.055997,35.838,21.167,12291.343,15.153
2025-11-12 20:32:29,240,4,Marker OK (ID 0),0.056447,36.126,0.508,5.481,10.237
2025-11-12 20:32:30,270,1,Marker OK (ID 0),0.051448,32.927,2.006,4.52,8.291
2025-11-12 20:32:31,301,1,Marker OK (ID 0),0.054767,35.051,2.957,22.517,8.906
2025-11-12 20:32:32,331,3,Marker OK (ID 0),0.051002,5.661,5.355,100.495,5.742
2025-11-12 20:32:33,361,1,Marker lost - using last/fallback scale,0.050767,32.491,0.457,3.857,8.792
2025-11-12 20:32:34,391,5,Marker OK (ID 0),0.054332,34.773,0.489,5.146,9.688
2025-11-12 20:32:35,421,6,Marker OK (ID 0),0.049024,31.375,0.441,3.79,8.371
2025-11-12 20:32:36,451,3,Marker lost - using last/fallback scale,0.051727,18.053,12.777,243.028,5.296
2025-11-12 20:32:37,481,1,Marker OK (ID 0),0.055438,35.48,0.499,5.233,9.973
2025-11-12 20:32:38,512,1,Marker OK (ID 0),0.05484,35.097,4.058,50.624,8.661
2025-11-12 20:32:39,542,1,Marker OK (ID 0),0.055881,31.405,0.503,4.807,8.351
2025-11-12 20:32:40,572,4,Marker OK (ID 0),0.053423,22.17,13.302,121.415,6.151
2025-11-12 20:32:41,602,1,Marker OK (ID 0),0.053878,34.482,3.502,28.143,8.503
2025-11-12 20:32:42,633,1,Marker OK (ID 0),0.053818,34.444,3.444,25.42,8.5
2025-11-12 20:32:43,663,1,Marker OK (ID 0),0.053718,34.38,4.083,10.124,8.323
2025-11-12 20:32:44,694,1,Marker OK (ID 0),0.052601,33.664,4.839,64.284,7.854
2025-11-12 20:32:45,724,1,Marker OK (ID 0),0.049909,31.942,4.542,56.573,7.099
2025-11-12 20:32:46,754,1,Marker OK (ID 0),0.052686,33.719,1.054,5.076,9.011
2025-11-12 20:32:47,784,1,Marker OK (ID 0),0.052832,33.812,2.272,11.198,8.574
2025-11-12 20:32:48,815,1,Marker OK (ID 0),0.052251,33.441,2.665,15.818,8.278
2025-11-12 20:32:49,845,1,Marker OK (ID 0),0.053059,33.958,0.478,4.805,9.363
2025-11-12 20:32:50,875,3,Marker OK (ID 0),0.050517,5.607,5.304,97.271,5.774
2025-11-12 20:32:51,906,1,Marker OK (ID 0),0.048262,30.888,2.703,16.336,7.156
2025-11-12 20:32:52,937,1,Marker OK (ID 0),0.048732,31.188,3.362,25.873,7.058
2025-11-12 20:32:53,967,1,Marker OK (ID 0),0.050247,32.158,4.422,53.944,7.224
2025-11-12 20:32:54,997,4,Marker OK (ID 0),0.060124,32.768,15.692,203.953,10.643
2025-11-12 20:32:55,1027,2,Marker OK (ID 0),0.058403,18.981,4.847,248.384,1.562
2025-11-12 20:32:56,1058,1,Marker lost - using last/fallback scale,0.049917,31.947,5.74,122.985,6.937
2025-11-12 20:32:57,1088,1,Marker OK (ID 0),0.051664,31.618,2.273,5.717,7.632
2025-11-12 20:32:58,1118,1,Marker OK (ID 0),0.050494,32.316,3.636,7.433,7.483
2025-11-12 20:32:59,1148,1,Marker OK (ID 0),0.045318,29.004,5.302,105.142,5.592
2025-11-12 20:33:00,1178,2,Marker OK (ID 0),0.047571,23.167,5.566,397.351,2.821
2025-11-12 20:33:01,1208,2,Marker OK (ID 0),0.048811,22.111,4.93,361.029,2.571
