Timestamp,Frame Index,Object Label,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-11 17:24:11,1,Object_1,Marker OK (ID 0),0.0305,5.337,5.246,89.314,5.91
2025-11-11 17:24:12,21,Object_1,Marker OK (ID 0),0.0305,5.337,5.246,89.295,5.91
2025-11-11 17:24:13,40,Object_1,Marker OK (ID 0),0.031638,5.505,5.442,97.682,5.804
2025-11-11 17:24:14,60,Object_1,Marker OK (ID 0),0.030592,5.354,5.262,89.618,5.9
2025-11-11 17:24:15,82,Object_1,Marker OK (ID 0),0.030505,5.338,5.247,89.7,5.91
2025-11-11 17:24:16,109,Object_1,Marker OK (ID 0),0.030574,6.207,6.115,144.144,5.409
2025-11-11 17:24:17,138,Object_1,Marker OK (ID 0),0.030574,6.207,6.115,143.587,5.409
2025-11-11 17:24:18,163,Object_1,Marker OK (ID 0),0.030574,6.237,6.145,143.987,5.393
2025-11-11 17:24:19,185,Object_2,Marker OK (ID 0),0.030574,6.237,6.421,146.686,5.385
2025-11-11 17:24:20,208,Object_1,Marker OK (ID 0),0.030481,6.188,6.127,143.687,5.417
2025-11-11 17:24:21,233,Object_1,Marker OK (ID 0),0.030481,6.127,6.066,142.786,5.45
2025-11-11 17:24:22,260,Object_1,Marker OK (ID 0),0.030494,6.16,6.099,143.04,5.432
2025-11-11 17:24:23,286,Object_4,Marker OK (ID 0),0.030486,5.488,5.975,105.004,5.76
2025-11-11 17:24:24,311,Object_1,Marker OK (ID 0),0.030467,6.154,6.063,141.191,5.437
2025-11-11 17:24:25,338,Object_1,Marker OK (ID 0),0.030481,6.157,6.127,142.548,5.432
2025-11-11 17:24:26,366,Object_1,Marker OK (ID 0),0.030559,6.173,6.081,143.274,5.427
2025-11-11 17:24:27,392,Object_1,Marker OK (ID 0),0.030481,5.334,5.273,88.615,5.908
2025-11-11 17:24:28,417,Object_1,Marker OK (ID 0),0.030481,6.157,6.096,142.675,5.434
2025-11-11 17:24:29,440,Object_2,Marker OK (ID 0),0.030559,4.553,2.536,6.601,7.033
2025-11-11 17:24:30,463,Object_1,Marker OK (ID 0),0.030486,6.189,7.225,148.136,5.442
2025-11-11 17:24:31,486,Object_1,Marker OK (ID 0),0.030592,5.354,5.262,89.627,5.9
2025-11-11 17:24:32,509,Object_1,Marker OK (ID 0),0.030667,5.367,5.275,89.238,5.892
2025-11-11 17:24:33,533,Object_1,Marker OK (ID 0),0.03068,6.228,6.105,145.165,5.399
2025-11-11 17:24:34,556,Object_1,Marker OK (ID 0),0.030574,6.207,6.115,144.054,5.409
2025-11-11 17:24:35,576,Object_1,Marker OK (ID 0),0.030473,6.186,6.125,143.317,5.418
2025-11-11 17:24:36,595,Object_1,Marker OK (ID 0),0.030672,6.196,6.104,145.13,5.415
2025-11-11 17:24:37,613,Object_2,Marker OK (ID 0),0.030473,8.258,3.474,12.076,5.102
2025-11-11 17:24:38,639,Object_1,Marker OK (ID 0),0.030592,6.149,6.057,143.664,5.44
2025-11-11 17:24:39,666,Object_1,Marker OK (ID 0),0.030395,6.14,6.079,141.632,5.443
2025-11-11 17:24:40,692,Object_1,Marker OK (ID 0),0.030395,6.14,6.079,142.563,5.443
2025-11-11 17:24:41,721,Object_1,Marker OK (ID 0),0.0305,6.161,6.069,143.656,5.433
2025-11-11 17:24:42,747,Object_1,Marker OK (ID 0),0.0305,6.191,6.069,143.632,5.419
2025-11-11 17:24:43,772,Object_1,Marker OK (ID 0),0.030592,6.18,6.088,144.198,5.423
2025-11-11 17:24:45,797,Object_1,Marker OK (ID 0),0.030395,6.14,6.109,142.475,5.441
2025-11-11 17:24:46,806,Object_1,Marker OK (ID 0),0.030395,6.109,6.049,142.267,5.459
2025-11-11 17:24:47,830,Object_1,Marker OK (ID 0),0.030395,6.17,6.109,142.535,5.427
2025-11-11 17:24:48,856,Object_1,Marker OK (ID 0),0.030592,6.241,6.118,144.343,5.393
2025-11-11 17:24:49,880,Object_1,Marker OK (ID 0),0.0305,6.161,6.1,143.664,5.432
2025-11-11 17:24:50,903,Object_1,Marker OK (ID 0),0.030395,6.17,6.079,142.692,5.428
2025-11-11 17:24:51,924,Object_1,Marker OK (ID 0),0.030395,6.14,6.109,142.4,5.441
2025-11-11 17:24:52,948,Object_1,Marker OK (ID 0),0.030486,6.158,6.097,143.09,5.433
2025-11-11 17:24:53,972,Object_1,Marker OK (ID 0),0.030486,6.158,6.097,143.2,5.433
2025-11-11 17:24:54,997,Object_1,Marker OK (ID 0),0.030486,6.158,6.097,143.366,5.433
2025-11-11 17:24:55,1023,Object_1,Marker OK (ID 0),0.030395,6.14,6.109,142.751,5.441
2025-11-11 17:24:56,1049,Object_1,Marker OK (ID 0),0.030395,6.14,6.079,142.297,5.443
2025-11-11 17:24:57,1074,Object_1,Marker OK (ID 0),0.030395,6.14,6.079,142.28,5.443
2025-11-11 17:24:58,1103,Object_1,Marker OK (ID 0),0.030486,6.158,6.128,143.219,5.431
2025-11-11 17:24:59,1130,Object_1,Marker OK (ID 0),0.03058,6.208,6.116,144.051,5.408
2025-11-11 17:25:00,1154,Object_1,Marker OK (ID 0),0.030395,6.14,6.079,142.249,5.443
2025-11-11 17:25:01,1177,Object_1,Marker OK (ID 0),0.030395,6.14,6.14,142.523,5.44
2025-11-11 17:25:02,1204,Object_1,Marker OK (ID 0),0.03058,6.177,6.116,143.649,5.423
2025-11-11 17:25:03,1230,Object_1,Marker OK (ID 0),0.030486,6.189,6.128,143.438,5.417
2025-11-11 17:25:04,1256,Object_1,Marker OK (ID 0),0.0305,6.13,6.039,143.374,5.45
2025-11-11 17:25:05,1279,Object_1,Marker OK (ID 0),0.030486,6.189,6.097,143.115,5.418
2025-11-11 17:25:06,1307,Object_1,Marker OK (ID 0),0.030395,7.933,3.374,4.168,5.278
2025-11-11 17:25:07,1330,Object_1,Marker OK (ID 0),0.030587,7.983,4.68,2.958,4.801
2025-11-11 17:25:08,1352,Object_1,Marker OK (ID 0),0.030494,6.19,6.099,143.769,5.418
2025-11-11 17:25:09,1378,Object_1,No marker,0.032701,0.589,11.871,26.028,9.266
2025-11-11 17:25:10,1399,Object_1,No marker,0.032701,7.489,5.232,26.549,4.904
2025-11-11 17:25:11,1420,Object_2,No marker,0.032701,2.224,6.082,15.696,7.312
2025-11-11 17:25:12,1439,Object_1,No marker,0.032701,2.322,9.124,74.198,7.586
2025-11-11 17:25:14,1458,Object_1,No marker,0.032701,2.158,4.84,15.868,7.467
2025-11-11 17:25:15,1479,Object_1,No marker,0.032701,2.224,4.774,15.405,7.447
2025-11-11 17:25:16,1500,Object_1,No marker,0.032701,2.158,4.12,13.768,7.604
2025-11-11 17:25:17,1519,Object_7,No marker,0.032701,1.472,12.721,92.264,9.284
2025-11-11 17:25:18,1539,Object_1,No marker,0.032701,5.428,3.401,27.861,6.335
2025-11-11 17:25:19,1556,Object_4,No marker,0.032701,7.358,8.273,72.501,5.074
2025-11-11 17:25:20,1572,Object_1,No marker,0.032701,6.638,5.036,45.161,5.337
2025-11-11 17:25:21,1586,Object_1,No marker,0.032701,2.224,4.055,13.88,7.589
2025-11-11 17:25:22,1599,Object_8,No marker,0.032701,18.182,4.349,3.673,1.841
2025-11-11 17:25:23,1615,Object_1,No marker,0.032701,7.031,1.995,1.639,6.282
2025-11-11 17:25:24,1630,Object_1,No marker,0.032701,6.867,2.158,2.668,6.263
2025-11-11 17:25:25,1648,Object_1,No marker,0.032701,6.802,2.649,5.94,6.057
2025-11-11 17:25:26,1662,Object_9,No marker,0.032701,19.85,15.697,479.142,7.83
2025-11-11 17:25:27,1678,Object_1,No marker,0.032701,5.298,2.812,2.017,6.61
2025-11-11 17:25:28,1692,Object_9,No marker,0.032701,18.542,12.688,290.712,5.238
2025-11-11 17:25:29,1705,Object_8,No marker,0.032701,14.716,10.759,40.567,3.828
2025-11-11 17:25:30,1718,Object_1,No marker,0.032701,6.442,2.158,2.19,6.429
2025-11-11 17:25:31,1733,Object_1,No marker,0.032701,5.069,3.499,28.768,6.459
2025-11-11 17:25:32,1746,Object_1,No marker,0.032701,5.199,3.499,29.581,6.401
2025-11-11 17:25:33,1762,Object_1,No marker,0.032701,5.363,3.499,32.089,6.33
2025-11-11 17:25:34,1778,Object_1,No marker,0.032701,6.181,5.526,33.491,5.474
2025-11-11 17:25:35,1793,Object_10,No marker,0.032701,9.32,13.996,148.935,7.429
2025-11-11 17:25:36,1810,Object_9,No marker,0.032701,9.32,14.29,117.846,7.641
2025-11-11 17:25:37,1828,Object_1,No marker,0.032701,5.428,1.864,1.885,6.969
2025-11-11 17:25:38,1846,Object_1,No marker,0.032701,5.657,3.597,31.84,6.168
2025-11-11 17:25:39,1862,Object_1,No marker,0.032701,5.396,1.864,1.369,6.982
2025-11-11 17:25:40,1880,Object_5,No marker,0.032701,3.041,7.75,86.017,6.992
2025-11-11 17:25:41,1898,Object_8,No marker,0.032701,10.072,15.697,416.897,8.524
2025-11-11 17:25:42,1916,Object_9,No marker,0.032701,9.745,15.697,397.036,8.591
2025-11-11 17:25:43,1932,Object_1,No marker,0.032701,6.148,2.06,2.794,6.592
2025-11-11 17:25:44,1950,Object_1,No marker,0.032701,5.33,3.597,30.854,6.312
2025-11-11 17:25:45,1969,Object_1,No marker,0.032701,5.33,3.499,27.486,6.344
2025-11-11 17:25:46,1988,Object_1,No marker,0.032701,2.518,5.036,20.963,7.268
2025-11-11 17:25:47,2005,Object_1,No marker,0.032701,7.456,5.167,50.509,4.932
2025-11-11 17:25:48,2021,Object_1,No marker,0.032701,2.224,5.101,16.211,7.398
2025-11-11 17:25:49,2038,Object_3,No marker,0.032701,1.733,5.265,8.995,7.609
2025-11-11 17:25:50,2053,Object_11,No marker,0.032701,19.85,15.697,487.376,7.83
2025-11-11 17:25:51,2070,Object_1,No marker,0.032701,5.428,5.984,47.01,5.788
2025-11-11 17:25:52,2087,Object_6,No marker,0.032701,10.889,14.421,353.728,7.385
2025-11-11 17:25:53,2105,Object_4,No marker,0.032701,2.354,9.124,93.278,7.571
