Timestamp,Width(cm),Height(cm),Volume(cm³),Error(%)
16:51:33,22.71,17.03,773.51,0.63
16:51:33,19.83,14.87,589.86,1.74
16:51:33,19.83,14.87,589.86,1.61
16:51:33,19.71,14.78,582.62,1.45
16:51:33,19.62,14.71,577.39,1.27
16:51:33,19.59,14.69,575.44,1.98
16:51:33,19.53,14.64,571.85,1.14
16:51:33,19.44,14.58,566.92,1.12
16:51:33,19.44,14.58,566.78,1.37
16:51:33,19.38,14.53,563.35,1.08
16:51:33,19.38,14.53,563.36,0.72
16:51:33,19.35,14.51,561.69,0.73
16:51:33,19.32,14.49,559.96,0.93
16:51:33,19.35,14.51,561.61,1.02
16:51:33,19.35,14.51,561.76,0.72
16:51:33,19.41,14.56,565.1,1.33
16:51:33,19.41,14.56,565.1,1.66
16:51:33,19.44,14.58,566.78,1.31
16:51:33,19.41,14.56,565.1,1.2
16:51:33,19.41,14.56,565.1,0.99
16:51:33,19.38,14.53,563.35,1.63
16:51:33,19.41,14.56,565.17,1.08
16:51:33,19.44,14.58,566.84,1.55
16:51:33,19.5,14.63,570.38,0.58
16:51:33,19.62,14.71,577.24,1.31
16:51:33,19.53,14.65,572.01,0.81
16:51:33,19.56,14.67,573.71,1.12
16:51:33,19.56,14.67,573.71,1.97
16:51:33,19.59,14.69,575.59,1.86
16:51:33,19.59,14.69,575.59,1.8
16:51:34,19.59,14.69,575.43,0.86
16:51:34,19.65,14.74,579.13,1.05
16:51:34,19.62,14.71,577.39,1.32
16:51:34,19.65,14.74,579.13,1.03
16:51:34,19.68,14.76,580.94,0.93
16:51:34,19.68,14.76,580.94,1.87
16:51:34,19.71,14.78,582.7,1.81
16:51:34,19.71,14.78,582.7,1.36
16:51:34,19.67,14.76,580.63,0.75
16:51:34,19.62,14.71,577.24,0.63
16:51:34,19.59,14.69,575.44,1.15
16:51:34,19.59,14.69,575.59,0.51
16:51:34,19.59,14.69,575.59,1.45
16:51:34,19.59,14.69,575.57,1.25
16:51:34,19.59,14.69,575.59,1.87
16:51:34,19.55,14.67,573.56,1.09
16:51:34,19.59,14.69,575.59,0.88
16:51:34,19.62,14.71,577.39,0.76
16:51:34,19.62,14.71,577.39,1.32
16:51:34,19.53,14.64,571.93,0.87
16:51:34,19.53,14.64,571.93,0.87
16:51:34,19.56,14.67,573.72,0.51
16:51:34,19.59,14.69,575.43,1.09
16:51:34,19.53,14.64,571.93,1.09
16:51:34,19.62,14.71,577.24,1.56
16:51:34,19.55,14.67,573.55,1.57
16:51:34,19.59,14.69,575.43,0.98
16:51:34,19.61,14.71,577.07,1.8
16:51:34,19.61,14.71,577.07,1.99
16:51:34,19.61,14.71,577.07,0.93
16:51:35,19.61,14.71,577.07,1.21
16:51:35,19.59,14.69,575.43,0.65
16:51:35,19.59,14.69,575.43,0.97
16:51:35,19.61,14.71,577.07,1.29
16:51:35,19.64,14.73,578.79,0.71
16:51:35,19.56,14.67,573.72,0.65
16:51:35,19.59,14.69,575.43,0.78
16:51:35,19.62,14.71,577.24,1.07
16:51:35,19.56,14.67,573.62,1.72
16:51:35,19.56,14.67,573.62,1.41
16:51:35,19.56,14.67,573.7,1.06
16:51:35,19.62,14.71,577.14,0.81
16:51:35,19.59,14.69,575.43,1.27
16:51:35,19.59,14.69,575.59,1.12
16:51:35,19.62,14.71,577.32,1.8
16:51:35,19.71,14.78,582.7,0.64
16:51:35,19.55,14.67,573.56,1.49
16:51:35,19.56,14.67,573.73,1.78
16:51:35,19.5,14.62,570.37,1.33
16:51:35,19.5,14.62,570.37,1.07
16:51:35,19.53,14.65,572.09,1.12
16:51:35,19.53,14.64,571.92,1.86
16:51:35,19.5,14.62,570.3,1.52
16:51:35,19.47,14.6,568.62,1.88
16:51:35,19.53,14.65,572.09,1.77
16:51:35,19.53,14.65,572.02,0.81
16:51:35,19.53,14.65,572.09,0.76
16:51:35,19.65,14.73,578.98,1.84
16:51:35,19.56,14.67,573.72,0.86
16:51:35,19.49,14.62,570.08,1.51
16:51:36,19.53,14.65,571.94,1.17
16:51:36,19.47,14.6,568.46,1.95
16:51:36,19.38,14.53,563.36,0.84
16:51:36,19.32,14.49,560.02,1.49
16:51:36,19.24,14.43,555.03,0.96
16:51:36,19.24,14.43,555.03,1.92
16:51:36,19.26,14.45,556.59,1.25
16:51:36,19.26,14.45,556.66,1.42
16:51:36,19.27,14.45,556.73,0.87
16:51:36,19.29,14.47,558.24,1.96
16:51:36,19.24,14.43,555.03,1.89
16:51:36,19.23,14.42,554.81,1.26
16:51:36,19.18,14.38,551.57,0.83
16:51:36,19.15,14.36,549.95,1.07
16:51:36,19.06,14.29,544.87,0.66
16:51:36,18.92,14.19,537.04,0.61
16:51:36,18.84,14.13,532.46,0.77
16:51:36,18.81,14.11,530.88,0.59
16:51:36,18.84,14.13,532.41,1.37
16:51:36,18.92,14.19,537.17,1.41
16:51:36,19.01,14.25,541.79,1.49
16:51:36,19.04,14.28,543.58,1.24
16:51:36,19.09,14.32,546.69,0.82
16:51:36,19.09,14.32,546.69,1.59
16:51:36,19.04,14.28,543.58,1.02
16:51:36,19.01,14.26,541.93,1.52
16:51:36,19.09,14.32,546.69,1.36
16:51:36,19.09,14.32,546.74,1.11
16:51:36,19.01,14.26,541.93,1.49
16:51:36,19.01,14.26,541.93,0.64
16:51:37,19.06,14.3,545.02,1.27
16:51:37,19.06,14.3,545.15,1.83
16:51:37,19.03,14.28,543.44,0.51
16:51:37,19.06,14.3,545.02,0.9
16:51:37,19.09,14.32,546.68,1.29
16:51:37,19.09,14.32,546.68,1.32
16:51:37,19.09,14.32,546.54,1.73
16:51:37,19.06,14.3,545.16,0.77
16:51:37,19.06,14.3,545.15,0.85
16:51:37,19.06,14.3,545.15,1.64
16:51:37,19.06,14.3,545.15,0.68
16:51:37,19.06,14.3,545.03,1.95
16:51:37,19.06,14.3,545.03,0.99
16:51:37,19.06,14.3,545.15,1.85
16:51:37,19.06,14.3,545.03,1.61
16:51:37,19.06,14.3,545.03,1.06
16:51:37,19.06,14.3,545.02,1.27
16:51:37,19.06,14.3,545.15,1.84
16:51:37,19.09,14.32,546.54,0.93
16:51:37,19.06,14.3,545.03,1.44
16:51:37,19.06,14.3,545.02,0.83
16:51:37,19.06,14.3,545.15,1.5
16:51:37,19.06,14.3,545.03,1.05
16:51:37,19.06,14.3,545.02,1.58
16:51:37,19.06,14.3,545.15,1.66
16:51:37,19.06,14.3,545.02,1.86
16:51:37,19.09,14.32,546.54,0.63
16:51:37,19.06,14.3,545.03,1.09
16:51:37,19.06,14.3,545.15,1.2
16:51:37,19.06,14.3,545.15,1.86
16:51:38,19.09,14.32,546.54,1.79
16:51:38,19.06,14.3,545.16,1.56
16:51:38,19.09,14.32,546.68,1.53
16:51:38,19.06,14.3,545.16,0.61
16:51:38,19.06,14.3,545.16,1.1
16:51:38,19.06,14.3,545.16,0.87
16:51:38,19.06,14.3,545.15,1.17
16:51:38,19.06,14.3,545.16,1.62
16:51:38,19.06,14.3,545.15,1.25
16:51:38,19.04,14.28,543.58,1.09
16:51:38,19.06,14.3,545.15,0.63
16:51:38,19.06,14.3,545.16,1.16
16:51:38,19.06,14.3,545.15,0.78
16:51:38,19.06,14.3,545.15,1.44
16:51:38,19.06,14.3,545.15,0.65
16:51:38,19.06,14.3,545.15,0.88
16:51:38,19.09,14.32,546.68,1.74
16:51:38,19.06,14.3,545.15,0.63
16:51:38,19.09,14.32,546.69,1.56
16:51:38,19.09,14.32,546.69,1.43
16:51:38,19.04,14.28,543.58,0.63
16:51:38,19.09,14.32,546.68,0.91
16:51:38,19.09,14.32,546.68,1.98
16:51:38,19.06,14.3,545.15,0.96
16:51:38,19.06,14.3,545.16,0.95
16:51:38,19.09,14.32,546.75,0.59
16:51:38,19.12,14.34,548.29,0.79
16:51:38,19.09,14.32,546.74,1.79
